gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_charge_per_tenure,has_fiber,is_month_to_month,has_online_security,has_tech_support
Female,1,Yes,No,5,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.03103521975821,255.15517609879103,0,10.206207043951641,1,1,0,0
Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,89.72765085755175,179.4553017151035,0,44.863825428775876,1,1,1,0
Male,1,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,93.88419919489118,93.88419919489118,1,93.88419919489118,1,1,1,0
Male,1,No,No,11,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,71.01946705168443,781.2141375685287,0,6.4563151865167665,1,1,1,1
Female,0,No,No,11,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,101.64333539826272,1118.07668938089,1,9.240303218023884,0,1,0,0
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,178.3983069362411,1962.381376298652,1,16.218027903294647,1,1,0,0
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,151.86701897893616,151.86701897893616,0,151.86701897893616,1,1,0,0
Female,0,Yes,No,4,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,51.00416523279575,204.016660931183,0,12.751041308198937,1,1,1,0
Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,152.09052348175888,456.2715704452767,1,50.696841160586295,1,1,0,1
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,88.72566816513444,266.1770044954033,0,29.57522272171148,1,1,1,0
Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.33854452416698,309.3541780966679,0,19.334636131041744,1,1,1,0
Male,0,No,No,6,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.5548786154724,201.3292716928344,0,5.5924797692454,1,1,0,0
