gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_charge_per_tenure,has_fiber,is_month_to_month,has_online_security,has_tech_support
Female,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,47.87948149655608,191.51792598622436,0,11.96987037413902,1,1,0,0
Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,102.1080056364528,102.1080056364528,0,102.1080056364528,1,1,1,0
Male,1,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,88.38186757526255,88.38186757526255,1,88.38186757526255,1,1,1,0
Male,1,No,No,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.21061853888241,234.63185561664724,0,26.070206179627473,1,1,1,1
Female,1,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,128.98315814268463,386.9494744280539,1,42.99438604756154,1,1,0,0
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,194.58796721116704,389.1759344223341,1,97.29398360558352,1,1,0,0
Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,155.82647710478204,311.6529542095641,0,77.91323855239102,1,1,0,0
Female,0,No,No,4,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,56.84131227211272,227.36524908845087,0,14.21032806802818,1,1,1,0
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,197.07128277406187,197.07128277406187,1,197.07128277406187,1,1,0,1
Male,0,No,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,92.36247557628909,369.44990230515634,0,23.09061889407227,1,1,1,0
Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.14329358493625,160.2865871698725,0,40.07164679246812,1,1,1,0
Male,1,No,No,1,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.942107486328986,33.942107486328986,0,33.942107486328986,1,1,0,0
Male,1,Yes,No,1,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,205.56493406185223,205.56493406185223,0,205.56493406185223,0,1,0,0
Male,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,167.41993081309522,669.6797232523809,1,41.854982703273805,1,1,0,0
